CollID;PieceNo;CDNo;TrackNo;Title;Artist;SingerInformation;SingingLanguage;Duration;Tempo;Variation;LiveInstruments;DrumInformation;Composer;CompositionStyle;Category_new;Genre;Subgenre
P;1;1;1;Eien no replica;Kazuo Nishi;Male;Japanese;03:29;135.0;;Gt;Drum sequences;;;Vocal;Popular;J-pop
P;2;1;2;Magic in your eyes;Hiromi Yoshii;Female;Japanese;03:42;100.0;;Gt, Bs;Drum sequences;;;Vocal;Popular;J-pop
P;3;1;3;HORO;MIT;Vocal group (1 male + 1 female);Japanese;03:15;111.0;;;Drum sequences;;;Vocal;Popular;J-pop
P;4;1;4;Spice of Life;Hisayoshi Kazato;Male;Japanese;04:02;86.0;;Gt;Drum sequences;;;Vocal;Popular;J-pop
P;5;1;5;Koino Ver.2.4;Eves;Vocal group (4 female);Japanese;03:48;135.0;;Gt;Drum sequences;;;Vocal;Popular;J-pop
P;6;1;6;Funky Life;Oriken;Male;Japanese;03:26;120.0;;Gt;Drum sequences;;;Vocal;Popular;J-pop
P;7;1;7;PROLOGUE;Tomomi Ogata;Female;Japanese;04:58;122.0;;Gt;Drum sequences;;;Vocal;Popular;J-pop
P;8;1;8;Jinsei konnamono;fevers;Vocal group (2 female);Japanese;03:12;127.0;;Gt, Bs;Drum sequences;;;Vocal;Popular;J-pop
P;9;1;9;Doukoku;Kazuo Nishi;Male;Japanese;04:37;70.0;;Gt, Bs, Dr;Live drums;;;Vocal;Popular;J-pop
P;10;1;10;Getting Over;Brakes;Vocal group (3 female);Japanese;03:35;125.0;;Gt;Drum sequences;;;Vocal;Popular;J-pop
P;11;1;11;Ienai;Hisayoshi Kazato;Male;Japanese;04:27;90.0;;Gt;Drum sequences;;;Vocal;Popular;J-pop
P;12;1;12;KAGE-ROU;Kazuo Nishi;Male;Japanese;03:24;120.0;;Gt, Bs;Drum sequences;;;Vocal;Popular;J-pop
P;13;1;13;Catch ball;Konbu;Female;Japanese;03:39;103.0;;Gt;Drum sequences;;;Vocal;Popular;J-pop
P;14;1;14;Karehairo no Twilight;Rin;Female;Japanese;03:54;88.0;;Gt, Bs;Drum sequences;;;Vocal;Popular;J-pop
P;15;1;15;old fashioned;Katsuyuki Ozawa;Male;Japanese;02:42;132.0;;Gt;Drum sequences;;;Vocal;Popular;J-pop
P;16;1;16;Game of Love;Hiromi Yoshii;Female;Japanese;04:22;122.0;;Gt, Bs;Drum loops;;;Vocal;Popular;J-pop
P;17;2;1;Anata to aete;Hiromi Yoshii;Female;Japanese;04:01;97.0;;Gt;Drum sequences;;;Vocal;Popular;J-pop
P;18;2;2;True Heart;Tomomi Ogata;Female;Japanese;04:14;112.0;;Gt;Drum sequences;;;Vocal;Popular;J-pop
P;19;2;3;COOL Motion;Hisayoshi Kazato;Male;Japanese;04:49;130.0;;Gt;Drum sequences;;;Vocal;Popular;J-pop
P;20;2;4;Tokimeki no syunkan;Eri Ichikawa;Female;Japanese;04:10;134.0;;;Drum sequences;;;Vocal;Popular;J-pop
P;21;2;5;Feeling In My Heart;Rin;Female;Japanese;04:28;98.0;;Gt;Drum sequences;;;Vocal;Popular;J-pop
P;22;2;6;Koi ni ochiru jikan ni kansuru kousatsu;Kazuo Nishi;Male;Japanese;03:29;135.0;;Gt;Drum sequences;;;Vocal;Popular;J-pop
P;23;2;7;SHAKE;MAPS;Vocal group (2 male);Japanese;03:21;132.0;;Gt;Drum sequences;;;Vocal;Popular;J-pop
P;24;2;8;it's all right;Hisayoshi Kazato;Male;Japanese;04:00;130.0;;;Drum sequences;;;Vocal;Popular;J-pop
P;25;2;9;tell me;Tomomi Ogata;Female;Japanese;04:16;103.0;;Gt;Drum sequences;;;Vocal;Popular;J-pop
P;26;2;10;aozora sanpo michi;Tomoko Nitta;Female;Japanese;03:27;158.0;;Gt, Bs;Drum sequences;;;Vocal;Popular;J-pop
P;27;2;11;stay;Shingo Katsuta;Male;Japanese;05:18;124.0;;Gt;Drum sequences;;;Vocal;Popular;J-pop
P;28;2;12;Fly away;Tomomi Ogata;Female;Japanese;04:10;109.0;;Gt;Drum sequences;;;Vocal;Popular;J-pop
P;29;2;13;One Two STEP;Kazuo Nishi;Male;Japanese;03:35;103.0;;Gt;Drum sequences;;;Vocal;Popular;J-pop
P;30;2;14;syounen no omoi;Mitsuru Tanimoto;Male;Japanese;03:16;104.0;;;Drum sequences;;;Vocal;Popular;J-pop
P;31;2;15;Moving Round and Round;Yuuichi Nagayama;Male;Japanese;04:10;129.0;;;Drum loops;;;Vocal;Popular;J-pop
P;32;2;16;what could I do for you;Masaki Kuehara;Male;Japanese;04:12;125.0;;Gt;Drum sequences;;;Vocal;Popular;J-pop
P;33;3;1;DREAM MAGIC;Hiromi Yoshii;Female;Japanese;04:47;108.0;;Gt, Bs;Drum sequences;;;Vocal;Popular;J-pop
P;34;3;2;Hitoyo no yume;Hiromi Yoshii;Female;Japanese;03:27;93.0;;Gt, Bs, Dr;Live drums;;;Vocal;Popular;J-pop
P;35;3;3;Midarana kami no moushigo;Hiromi Yoshii;Female;Japanese;03:13;170.0;;Gt, Bs, Dr;Live drums;;;Vocal;Popular;J-pop
P;36;3;4;over and over;Kazuo Nishi;Male;Japanese;05:16;135.0;;Gt, Bs, Dr;Live drums;;;Vocal;Popular;J-pop
P;37;3;5;Replica;Yoshinori Hatae;Male;Japanese;03:59;184.0;;Gt, Bs, Dr;Live drums;;;Vocal;Popular;J-pop
P;38;3;6;1999;Kousuke Morimoto;Male;Japanese;04:35;125.0;;Gt, Bs, Dr;Live drums;;;Vocal;Popular;J-pop
P;39;3;7;SPUL;Kousuke Morimoto;Male;Japanese;04:48;73.0;;Gt, Bs, HH;Drum sequences;;;Vocal;Popular;J-pop
P;40;3;8;promise;Kazuo Nishi;Male;Japanese;03:46;122.0;;Gt, Bs;Drum sequences;;;Vocal;Popular;J-pop
P;41;3;9;Non Stop Driving;Katsuyuki Ozawa;Male;Japanese;02:50;200.0;;Gt;Drum sequences;;;Vocal;Popular;J-pop
P;42;3;10;Fly to the moon;Kousuke Morimoto;Male;Japanese;04:08;125.0;;Gt, Bs;Drum sequences;;;Vocal;Popular;J-pop
P;43;3;11;Centimeter no kodoku;Kazuo Nishi;Male;Japanese;03:24;163.0;;Gt;Drum sequences;;;Vocal;Popular;J-pop
P;44;3;12;REAL na 5 hun;Kousuke Morimoto;Male;Japanese;04:06;124.0;;Gt, Bs;Drum sequences;;;Vocal;Popular;J-pop
P;45;3;13;Hajimari;Kousuke Morimoto;Male;Japanese;03:42;77.0;;Gt, Bs, Dr;Live drums;;;Vocal;Popular;J-pop
P;46;3;14;Senro wa tsuzukuyo;Kousuke Morimoto;Male;Japanese;03:19;168.0;;Gt;Drum sequences;;;Vocal;Popular;J-pop
P;47;3;15;Deaetakara;Satoshi Kumasaka;Male;Japanese;03:30;94.0;;Gt, Gt, Bs, Dr, Org;Live drums;;;Vocal;Popular;J-pop
P;48;3;16;Syodoubutsu;Hiroshi Sekiya;Male;Japanese;04:29;86.0;;Gt;Drum sequences;;;Vocal;Popular;J-pop
P;49;4;1;Sekai no mikata;Hiroshi Sekiya;Male;Japanese;04:35;100.0;;Gt;Drum sequences;;;Vocal;Popular;J-pop
P;50;4;2;Mrs. Maril;Rin;Female;Japanese;03:15;114.0;;Gt, Bs;Drum sequences;;;Vocal;Popular;J-pop
P;51;4;3;Modoranai natsu;Hiroshi Sekiya;Male;Japanese;06:07;104.0;;Gt, Gt, Bs, Dr, Pf;Live drums;;;Vocal;Popular;J-pop
P;52;4;4;Haru ga kurukara;Tomomi Ogata;Female;Japanese;03:45;140.0;;Gt;Drum sequences;;;Vocal;Popular;J-pop
P;53;4;5;Ashita wa;Rin;Female;Japanese;03:39;132.0;;Gt, Bs;Drum sequences;;;Vocal;Popular;J-pop
P;54;4;6;Harukana omoi;Rin;Female;Japanese;03:42;125.0;;Gt, Bs;Drum sequences;;;Vocal;Popular;J-pop
P;55;4;7;First Love;Akiko Kaburagi;Female;Japanese;04:09;74.0;;Gt, Gt, Bs, Dr;Live drums;;;Vocal;Popular;J-pop
P;56;4;8;I've got a mail;Masashi Hashimoto;Male;Japanese;05:22;74.0;;Gt, Bs;Drum loops;;;Vocal;Popular;J-pop
P;57;4;9;Stay with me;Masashi Hashimoto;Male;Japanese;04:27;70.0;;;Drum sequences;;;Vocal;Popular;J-pop
P;58;4;10;Silver shoes;Rin;Female;Japanese;03:45;118.0;;;Drum loops;;;Vocal;Popular;J-pop
P;59;4;11;Tenshi no utatane;Rin;Female;Japanese;03:25;98.0;;Gt, Tp;Drum loops;;;Vocal;Popular;J-pop
P;60;4;12;Kumorizora;Yuzu Iijima;Female;Japanese;04:03;148.0;;Gt, Gt, Bs;Drum loops;;;Vocal;Popular;J-pop
P;61;4;13;FOR YOU;Kazuo Nishi;Male;Japanese;04:43;121.0;;Gt;Drum sequences;;;Vocal;Popular;J-pop
P;62;4;14;Be with me Now;Rin;Female;Japanese;03:11;81.0;;Gt;Drum sequences;;;Vocal;Popular;J-pop
P;63;4;15;Power of mind;Reiko Sato;Female;Japanese;04:11;126.0;;Gt, Bs, Dr;Live drums;;;Vocal;Popular;J-pop
P;64;4;16;So Long;Kousuke Morimoto;Male;Japanese;04:52;100.0;;Gt, Bs;Drum sequences;;;Vocal;Popular;J-pop
P;65;5;1;Tanabata;Makiko Hattori;Female;Japanese;03:52;76.0;;Gt, Bs, Dr;Live drums;;;Vocal;Popular;J-pop
P;66;5;2;Mousugu natsu ga kuru;M & Y;Vocal group (2 female);Japanese;05:20;76.0;;Gt, HH, Pf;Drum sequences;;;Vocal;Popular;J-pop
P;67;5;3;Tokei no hayasa wa;Makiko Hattori;Female;Japanese;04:10;88.0;;Gt, Bs, Dr;Live drums;;;Vocal;Popular;J-pop
P;68;5;4;Nichiyoubi;Makiko Hattori;Female;Japanese;04:54;92.0;;Gt, Bs, Dr;Live drums;;;Vocal;Popular;J-pop
P;69;5;5;Gin no sora;Hiromi Yoshii;Female;Japanese;06:00;62.0;;Gt;Drum sequences;;;Vocal;Popular;J-pop
P;70;5;6;Miageta sora wa;Tamako Matsuzaka;Female;Japanese;04:06;104.0;;Gt, Bs, Dr, Pf;Live drums;;;Vocal;Popular;J-pop
P;71;5;7;Tsuki no youni;Hiromi Yoshii;Female;Japanese;04:46;70.0;;Gt, Pf;Without drums;;;Vocal;Popular;J-pop
P;72;5;8;Heart to Hurt;Kousuke Morimoto;Male;Japanese;03:21;76.0;;Pf, Vc;Without drums;;;Vocal;Popular;J-pop
P;73;5;9;Miss Maria;Kazuo Nishi;Male;Japanese;03:16;144.0;;Pf, Vc;Without drums;;;Vocal;Popular;J-pop
P;74;5;10;Kimi no iro;Kousuke Morimoto;Male;Japanese;03:14;94.0;;Gt;Without drums;;;Vocal;Popular;J-pop
P;75;5;11;Toui machi e;Hiromi Yoshii;Female;Japanese;03:21;108.0;;Pf;Without drums;;;Vocal;Popular;J-pop
P;76;5;12;Chikai;Kousuke Morimoto;Male;Japanese;03:50;70.0;;Gt;Without drums;;;Vocal;Popular;J-pop
P;77;5;13;Aishiteru;Makiko Hattori;Female;Japanese;03:56;120.0;;Gt, Pf;Without drums;;;Vocal;Popular;J-pop
P;78;5;14;Kumo;Masaki Kuehara;Male;Japanese;04:21;75.0;;Gt;Without drums;;;Vocal;Popular;J-pop
P;79;5;15;Together;Tomomi Ogata;Female;Japanese;04:28;92.0;;;Without drums;;;Vocal;Popular;J-pop
P;80;5;16;Sagashimono;Tomomi Ogata;Female;Japanese;03:39;80.0;;;Without drums;;;Vocal;Popular;J-pop
P;81;6;1;How Deep Is Your Love?;Donna Burke;Female;English;03:50;90.0;;Gt;Drum sequences;;;Vocal;Popular;Pop
P;82;6;2;Once in a life time;Shinya Iguchi;Male;English;05:37;88.0;;Gt, Dr;Live drums;;;Vocal;Popular;Pop
P;83;6;3;Doing That Thing;Jeff Manning;Male;English;03:37;140.0;;Gt;Drum sequences;;;Vocal;Popular;Pop
P;84;6;4;Someday;Shinya Iguchi;Male;English;04:40;138.0;;Gt, Dr;Live drums;;;Vocal;Popular;Pop
P;85;6;5;Waiting for the moment;Jeff Manning;Male;English;03:30;98.0;;Gt;Drum sequences;;;Vocal;Popular;Pop
P;86;6;6;Angel Baby;Betty;Female;English;04:17;80.0;;Gt;Drum sequences;;;Vocal;Popular;Pop
P;87;6;7;I think of you;Jeff Manning;Male;English;04:51;90.0;;Gt;Drum sequences;;;Vocal;Popular;Pop
P;88;6;8;Woman Like You;Shinya Iguchi;Male;English;04:09;120.0;;Gt, Dr;Live drums;;;Vocal;Popular;Pop
P;89;6;9;Life Is What You Make It To Be;Donna Burke;Female;English;03:43;134.0;;Gt;Drum sequences;;;Vocal;Popular;Pop
P;90;6;10;Don't Say Good bye;Shinya Iguchi;Male;English;04:37;127.0;;Gt, Dr;Live drums;;;Vocal;Popular;Pop
P;91;7;1;Change Of Heart;Donna Burke;Female;English;03:43;124.0;;Gt;Drum sequences;;;Vocal;Popular;Pop
P;92;7;2;I'll be there for you;Betty;Female;English;03:40;134.0;;;Drum sequences;;;Vocal;Popular;Pop
P;93;7;3;Sweet Dreams;Donna Burke;Female;English;04:18;90.0;;Gt;Drum sequences;;;Vocal;Popular;Pop
P;94;7;4;Life;Betty;Female;English;03:43;78.0;;Gt;Drum sequences;;;Vocal;Popular;Pop
P;95;7;5;Feel;Jeff Manning;Male;English;03:52;161.0;;Gt, Bs, Dr;Live drums;;;Vocal;Popular;Pop
P;96;7;6;Weekend;Betty;Female;English;04:40;130.0;;;Drum loops;;;Vocal;Popular;Pop
P;97;7;7;Don't Lie To Me;Donna Burke;Female;English;04:03;91.0;;Gt;Drum sequences;;;Vocal;Popular;Pop
P;98;7;8;31 BLUES;Jeff Manning;Male;English;03:31;107.0;;Gt, Bs, Dr;Live drums;;;Vocal;Popular;Pop
P;99;7;9;Once and For All;Shinya Iguchi;Male;English;05:17;73.0;;Gt;Without drums;;;Vocal;Popular;Pop
P;100;7;10;No Regrets;Shinya Iguchi;Male;English;04:53;80.0;;Gt;Drum loops;;;Vocal;Popular;Pop
R;1;1;1;Chou chou;Hiromi Asakawa;Female;Japanese;02:07;120.0;;Gt, Bs, HH;Drum sequences;;;Vocal;Popular;J-pop
R;2;1;2;Musunde hiraite;Hiromi Asakawa;Female;Japanese;02:10;104.0;;Gt;Drum sequences;;;Vocal;Popular;J-pop
R;3;1;3;Akai kutsu;Hiromi Asakawa;Female;Japanese;02:58;75.0;;Gt, Bs, HH;Drum sequences;;;Vocal;Popular;J-pop
R;4;1;4;Nanatsu no ko;Hiromi Asakawa;Female;Japanese;02:08;70.0;;;Drum sequences;;;Vocal;Popular;J-pop
R;5;1;5;Momotaro;Hiromi Asakawa;Female;Japanese;02:10;130.0;;Gt;Drum sequences;;;Vocal;Popular;J-pop
R;6;1;6;Jingle Bells;Donna Burke;Female;English;02:00;115.0;;Gt, Bs, HH;Drum sequences;;;Vocal;Popular;American Christmas Song / Christmas music
R;7;1;7;Mary Had A Little Lamb;Donna Burke;Female;English;02:04;100.0;;Gt, Bs, HH;Drum sequences;;;Vocal;Popular;American Nursery Song / Nursery rhymes
R;8;1;8;I've Been Workin' On The Railroad;Jeff Manning;Male;English;02:06;130.0;;Gt, HH;Drum sequences;;;Vocal;Popular;American Folk Song
R;9;1;9;Home on the Range;Jeff Manning;Male;English;02:34;100.0;;Gt;Drum sequences;;;Vocal;Popular;American Folk Song
R;10;1;10;Yankee Doodle;Jeff Manning;Male;English;02:25;116.0;;Gt, HH;Drum sequences;;;Vocal;Popular;American Nursery Song
R;11;1;11;John Brown Had A Little Indian;Donna Burke;Female;English;02:10;120.0;;Gt;Drum sequences;;;Vocal;Popular;American Nursery Song
R;12;1;12;When the Saints Go Marching in;Jeff Manning;Male;English;02:04;200.0;;Gt;Drum sequences;;;Vocal;Popular;American traditional black spiritual
R;13;1;13;Silent Night;Donna Burke;Female;English;01:58;70.0;;;Drum sequences;;;Vocal;Popular;Christmas Carol
R;14;1;14;Turkey In The Straw;Donna Burke;Female;English;02:04;180.0;;Gt;Drum sequences;;;Vocal;Popular;American Folk Song
R;15;1;15;My Bonny;Jeff Manning;Male;English;01:46;80.0;;;Drum sequences;;;Vocal;Popular;Scottisch Folk Song
C;1;1;1;"Symphony No.94 in G major, Hob.I:94, ""The Surprise"", 1st mvmt.";Tokyo City Philharmonic Orchestra;;;08:24;;;Orch;;Haydn, Franz Joseph;Symphony;Symphony;Classical;Classical
C;2;1;2;Symphony No.40 in G minor, KV 550, 1st mvmt.;Tokyo City Philharmonic Orchestra;;;07:39;;;Orch;;Mozart, Wolfgang Amadeus;Symphony;Symphony;Classical;Classical
C;3;1;3;Symphony No.5 in C minor, Op.67, 1st mvmt.;Tokyo City Philharmonic Orchestra;;;07:15;;;Orch;;Beethoven, Ludwig van;Symphony;Symphony;Classical;Classical
C;4;1;4;"Symphony No.6 in B minor, Op.74, ""Pathétique"", 4th mvmt.";Tokyo City Philharmonic Orchestra;;;09:52;;;Orch;;Tchaikovsky, Pyotr Ilich;Symphony;Symphony;Classical;Romantic
C;5;1;5;Violin Concerto No.5 in A major, KV 219, 1st mvmt.;Tokyo City Philharmonic Orchestra;;;10:06;;;Vn, Orch;;Mozart, Wolfgang Amadeus;Concerto;Concerto;Classical;Classical
C;6;1;6;Piano Concerto No.1 in E minor, Op.11, 2nd mvmt.;Tokyo City Philharmonic Orchestra;;;10:00;;;Pf, Orch;;Chopin, Frédéric François;Concerto;Concerto;Classical;Romantic
C;7;2;1;Brandenburg Concerto No.5 in D major, BWV 1050, 1st mvmt.;Tokyo City Philharmonic Orchestra;;;10:01;;;Orch;;Bach, Johann Sebastian;Concerto;Orchestral;Classical;Baroque
C;8;2;2;"""Le Nozze di Figaro"" (The Marriage of Figaro), KV 492, Overture";Tokyo City Philharmonic Orchestra;;;04:15;;;Orch;;Mozart, Wolfgang Amadeus;Theatre Music;Orchestral;Classical;Classical
C;9;2;3;"""Tristan und Isolde"", Prelude and Liebestod";Tokyo City Philharmonic Orchestra;;;18:01;;;Orch;;Wagner, Richard;Theatre Music;Orchestral;Classical;Romantic
C;10;2;4;"""An der Schönen Blauen Donau"" (Blue Danube Waltz), Op.314";Tokyo City Philharmonic Orchestra;;;07:42;;;Orch;;Strauss II, Johann;Waltz;Orchestral;Classical;Romantic
C;11;2;5;Passacaglia and Fugue in C minor, BWV 582;Tetsuya Kan;;;12:36;;;Org;;Bach, Johann Sebastian;Passacaglias, Fugues for Organ;Solo;Classical;Baroque
C;12;3;1;"""The Musical Offering"", BWV 1079, Ricercare à 6";Wood Land Notes;;;06:27;;;;;Bach, Johann Sebastian;Canon;Chamber;Classical;Baroque
C;13;3;2;String Quartet No.19 in C major, KV 465, 1st mvmt.;Wood Land Notes;;;08:30;;;Vn,Vn, Va, Vc;;Mozart, Wolfgang Amadeus;String Quartet;Chamber;Classical;Classical
C;14;3;3;String Quartet No.14 in C# minor, Op.131, 5th mvmt.;Wood Land Notes;;;06:37;;;Vn,Vn, Va, Vc;;Beethoven, Ludwig van;String Quartet;Chamber;Classical;Classical
C;15;3;4;String Quartet No.2 in D major, 3rd mvmt.;Wood Land Notes;;;07:43;;;Vn,Vn, Va, Vc;;Borodin, Alexander;String Quartet;Chamber;Classical;Romantic
C;16;3;5;Clarinet Quintet in A major, KV 581, 1st mvmt.;Wood Land Notes;;;09:05;;;Cl, Vn,Vn, Va, Vc;;Mozart, Wolfgang Amadeus;Clarinet Quintet;Chamber;Classical;Classical
C;17;3;6;Clarinet Quintet in B minor, Op.115, 3rd mvmt.;Wood Land Notes;;;04:57;;;Cl, Vn,Vn, Va, Vc;;Brahms, Johannes;Clarinet Quintet;Chamber;Classical;Romantic
C;18;3;7;Horn Trio in Eb major, Op.40, 2nd mvmt.;Wood Land Notes;;;07:42;;;Hn, Vn, Pf;;Brahms, Johannes;Horn Trio;Chamber;Classical;Romantic
C;19;4;1;"Piano Trio No.7 in Bb major, Op.97, ""Archduke"", 1st mvmt.";Wood Land Notes;;;09:33;;;Pf, Vn, Vc;;Beethoven, Ludwig van;Piano Trio;Chamber;Classical;Classical
C;20;4;2;Piano Trio No.1 in B major, Op.8, 1st mvmt.;Wood Land Notes;;;10:32;;;Pf, Vn, Vc;;Brahms, Johannes;Piano Trio;Chamber;Classical;Romantic
C;21;4;3;"Piano Quintet in A major, Op.32/D.667, ""Trout"", 4th mvmt.";Wood Land Notes;;;08:10;;;Vn,Va, Vc, Db, Pf;;Schubert, Franz Peter;Piano Quintet;Chamber;Classical;Romantic
C;22;4;4;Hungarian Dance No.5 in F# minor;Yuriko Furuichi & Yoshiko Kikuchi;;;02:25;;;Pf;;Brahms, Johannes;Piano 4 Hands;Solo;Classical;Romantic
C;23A;4;5;"Suite ""Ma Mère l'Oye"" (Mother Goose), 1. Pavane de la Belle au Bois Dormant";Yuriko Furuichi & Yoshiko Kikuchi;;;01:20;;;Pf;;Ravel, Maurice;Suite for Piano 4 Hands;Solo;Classical;Romantic
C;23B;4;6;"Suite ""Ma Mère l'Oye"" (Mother Goose), 2. Petit Poucet";Yuriko Furuichi & Yoshiko Kikuchi;;;02:45;;;Pf;;Ravel, Maurice;Suite for Piano 4 Hands;Solo;Classical;Romantic
C;23C;4;7;"Suite ""Ma Mère l'Oye"" (Mother Goose), 3. Laideronnette, Impératrice des Pagodes";Yuriko Furuichi & Yoshiko Kikuchi;;;03:25;;;Pf;;Ravel, Maurice;Suite for Piano 4 Hands;Solo;Classical;Romantic
C;23D;4;8;"Suite ""Ma Mère l'Oye"" (Mother Goose), 4. Les Entretiens de la Belle et de la Bête";Yuriko Furuichi & Yoshiko Kikuchi;;;04:09;;;Pf;;Ravel, Maurice;Suite for Piano 4 Hands;Solo;Classical;Romantic
C;23E;4;9;"Suite ""Ma Mère l'Oye"" (Mother Goose), 5. Le Jardin Féerique";Yuriko Furuichi & Yoshiko Kikuchi;;;02:50;;;Pf;;Ravel, Maurice;Suite for Piano 4 Hands;Solo;Classical;Romantic
C;24A;4;10;The Anna Magdalena Bach Notebooks, 1. Menuet in G major;Atsuko Watanabe;;;01:26;;;Hp;;Bach, Johann Sebastian;Minuet for Keyboard;Solo;Classical;Baroque
C;24B;4;11;The Anna Magdalena Bach Notebooks, 2. Menuet in G minor;Atsuko Watanabe;;;01:29;;;Hp;;Bach, Johann Sebastian;Minuet for Keyboard;Solo;Classical;Baroque
C;24C;4;12;The Anna Magdalena Bach Notebooks, 8. Musette in D major;Atsuko Watanabe;;;00:52;;;Hp;;Bach, Johann Sebastian;Musette for Keyboard;Solo;Classical;Baroque
C;25A;4;13;The Well-Tempered Clavier, Book 1, No.1 in C major, BWV 846, Prelude;Atsuko Watanabe;;;02:03;;;Hp;;Bach, Johann Sebastian;Prelude for Keyboard;Solo;Classical;Baroque
C;25B;4;14;The Well-Tempered Clavier, Book 1, No.1 in C major, BWV 846, Fugue;Atsuko Watanabe;;;02:11;;;Hp;;Bach, Johann Sebastian;Fugue for Keyboard;Solo;Classical;Baroque
C;25C;4;15;The Well-Tempered Clavier, Book 1, No.2 in C minor, BWV 847, Prelude;Atsuko Watanabe;;;01:31;;;Hp;;Bach, Johann Sebastian;Prelude for Keyboard;Solo;Classical;Baroque
C;25D;4;16;The Well-Tempered Clavier, Book 1, No.2 in C minor, BWV 847, Fugue;Atsuko Watanabe;;;01:54;;;Hp;;Bach, Johann Sebastian;Fugue for Keyboard;Solo;Classical;Baroque
C;26;5;1;Piano Sonata in A major, KV 331/300i, 1st mvmt.;Norio Shimizu;;;10:00;;;Pf;;Mozart, Wolfgang Amadeus;Piano Sonata;Solo;Classical;Classical
C;27;5;2;"Variations on ""Ah Vous Dirai-je Maman"", KV 265/300e";Yuriko Furuichi;;;07:27;;;Pf;;Mozart, Wolfgang Amadeus;Variations for Piano;Solo;Classical;Classical
C;28;5;3;"Piano Sonata No.23 in F minor, Op.57, ""Appasionata"", 1st mvmt.";Sarasa Watanabe;;;09:50;;;Pf;;Beethoven, Ludwig van;Piano Sonata;Solo;Classical;Classical
C;29;5;4;"""Träumerei"" from Suite ""Kinderszenen"", Op.15";Norio Shimizu;;;02:25;;;Pf;;Schumann, Robert Alexander;Pieces for Piano;Solo;Classical;Romantic
C;30;5;5;Nocturne No.2 in Eb major, Op.9 No.2;Yuriko Furuichi;;;04:02;;;Pf;;Chopin, Frédéric François;Nocturne for Piano;Solo;Classical;Romantic
